,image,dark_corner,hair,gel_bubble,ruler,clean,label
4,ISIC_0000029,0.004625413566827774,1.0,0.529248058795929,0.018526315689086914,0.0,1
6,ISIC_0000031,1.0,0.04727060347795488,0.5059006810188293,0.34540024399757385,0.0,1
9,ISIC_0000040,1.0,0.03667959198355675,0.01624920591711998,0.001358896610327065,0.0,1
11,ISIC_0000046,1.0,0.7195954918861389,0.00992058590054512,0.024551386013627045,0.0,1
12,ISIC_0000049,0.013199064880609512,0.11774671822786333,0.040926676243543625,0.002254035091027617,1.0,1
13,ISIC_0000054,0.011847601272165777,0.5182843208312988,0.06431648135185243,0.0005687462398782372,1.0,1
14,ISIC_0000056,0.026895724236965183,0.2004217356443405,1.0,0.005313591565936804,0.0,1
15,ISIC_0000074,0.9957766532897948,1.0,0.008076060563325882,0.004863793961703777,0.0,1
16,ISIC_0000077,1.0,0.006165924016386271,0.11574877053499223,0.015242814086377619,0.0,1
17,ISIC_0000078,1.0,0.92790549993515,0.004564509727060796,0.1818160563707352,0.0,1
18,ISIC_0000139,0.006429876666516066,1.0,0.703045129776001,0.2790113091468811,0.0,1
19,ISIC_0000140,1.0,0.956186294555664,0.7355785369873047,0.9221729040145874,0.0,1
20,ISIC_0000141,0.0133862579241395,0.35759833455085754,1.0,0.0004386843065731227,0.0,1
22,ISIC_0000143,0.0005973891820758581,1.0,0.8331879973411559,0.1706712543964386,0.0,1
23,ISIC_0000145,0.03768877312541008,1.0,0.9758068919181824,0.9456910490989684,0.0,1
24,ISIC_0000146,1.0,0.9966439008712769,0.933420479297638,0.9283993244171144,0.0,1
25,ISIC_0000147,0.1240020915865898,0.049680061638355255,1.0,0.047569412738084786,0.0,1
26,ISIC_0000148,0.03733649849891663,1.0,0.9676692485809326,0.01844889111816883,0.0,1
27,ISIC_0000149,0.018155848607420918,0.10045746713876724,0.001752409734763205,1.0,0.0,1
28,ISIC_0000150,0.8431121706962585,0.3971435129642487,0.07062643766403197,1.0,0.0,1
29,ISIC_0000151,0.2267118990421295,1.0,0.8166087865829468,0.1831201016902924,0.0,1
31,ISIC_0000153,0.01683448627591133,1.0,0.7623028755187988,0.1093488186597824,0.0,1
35,ISIC_0000157,0.317926287651062,1.0,0.4804609417915344,0.002463072771206498,0.0,1
36,ISIC_0000159,0.009084907360374928,0.986846923828125,1.0,0.0007999803638085723,0.0,1
39,ISIC_0000162,0.1833851784467697,1.0,0.9432443380355836,0.011612559668719769,0.0,1
44,ISIC_0000167,0.1271114945411682,1.0,0.9874540567398072,0.011926302686333656,0.0,1
46,ISIC_0000170,0.8162087202072144,1.0,0.007587121333926915,0.11143947392702104,0.0,1
48,ISIC_0000172,0.006132356356829405,0.735134482383728,1.0,0.04076134040951729,0.0,1
49,ISIC_0000173,1.0,0.06997855007648468,0.024948906153440475,0.026235518977046013,0.0,1
50,ISIC_0000175,0.022176889702677727,0.10726314783096312,0.4312755465507507,0.017418483272194862,1.0,1
51,ISIC_0000176,0.2037373334169388,0.044668510556221015,0.12393801659345627,1.0,0.0,1
52,ISIC_0000276,1.0,0.008755940943956375,0.0022754096426069736,0.9532906413078308,0.0,1
53,ISIC_0000277,1.0,0.8773813843727112,0.005506284069269896,0.7032718658447266,0.0,1
54,ISIC_0000278,0.05655096098780633,0.032587148249149316,0.014768796041607857,0.09491197764873503,1.0,1
55,ISIC_0000279,0.01458251755684614,0.004747481551021338,0.005399521440267563,1.0,0.0,1
57,ISIC_0000282,1.0,0.04250570759177208,0.010640835389494896,0.9405342936515808,0.0,1
58,ISIC_0000283,1.0,0.8596461415290833,0.0101993465796113,0.9905046224594116,0.0,1
59,ISIC_0000287,1.0,0.003344403812661767,0.00611372571438551,0.9430439472198486,0.0,1
60,ISIC_0000288,0.007364405784755945,0.003091302700340748,1.0,0.04277421906590462,0.0,1
61,ISIC_0000290,1.0,0.061787214130163186,0.3958014249801636,0.9677971005439758,0.0,1
62,ISIC_0000292,0.05029034614562988,1.0,0.013066355139017105,0.8516004085540771,0.0,1
63,ISIC_0000293,0.7303004264831543,0.6757698059082031,0.3471637368202209,1.0,0.0,1
64,ISIC_0000294,0.053921494632959366,0.17189960181713104,0.002922400599345565,0.4923310875892639,1.0,1
66,ISIC_0000297,0.9643058776855468,1.0,0.006346778478473425,0.012091394513845444,0.0,1
67,ISIC_0000298,1.0,0.04557009041309357,0.01034841500222683,0.04277035221457482,0.0,1
68,ISIC_0000299,1.0,0.04635685309767723,0.9597128033638,0.00013237231178209188,0.0,1
69,ISIC_0000300,0.9486320614814758,1.0,0.804111123085022,0.000428989005740732,0.0,1
70,ISIC_0000301,1.0,0.9381044507026672,0.00706471735611558,0.010829526931047441,0.0,1
72,ISIC_0000306,0.9618398547172546,1.0,0.004806827288120985,0.03691856190562248,0.0,1
74,ISIC_0000310,1.0,0.0310873668640852,0.959940791130066,0.0014133574441075325,0.0,1
76,ISIC_0000313,1.0,0.9579921960830688,0.03838052973151207,0.002405437408015132,0.0,1
77,ISIC_0000314,1.0,0.03160695731639862,0.9127448797225952,0.002674737479537725,0.0,1
78,ISIC_0000390,0.07552245259284973,1.0,0.35122349858284,0.006464632693678141,0.0,1
79,ISIC_0000393,0.01460979226976633,1.0,0.062168341130018234,0.05237651988863945,0.0,1
80,ISIC_0000395,0.0943407341837883,0.5123881697654724,0.007572310511022806,1.0,0.0,1
81,ISIC_0000410,0.04838640987873077,0.044424910098314285,0.14415699243545532,0.058877456933259964,1.0,1
82,ISIC_0000412,0.2717975378036499,0.14169511198997498,0.019079681485891342,1.0,0.0,1
83,ISIC_0000413,0.8860809206962585,0.07029002904891968,0.005235005635768175,1.0,0.0,1
84,ISIC_0000415,0.0199175663292408,0.16294392943382266,0.010959847830235958,0.2689782679080963,1.0,1
85,ISIC_0000420,0.15189750492572784,0.6185916662216187,0.2670346200466156,1.0,0.0,1
86,ISIC_0000434,0.0009416480315849184,0.05604645609855652,0.00019238557433709505,0.003493161406368017,1.0,1
91,ISIC_0000482,0.015019053593277931,1.0,0.018412679433822632,0.00011067543528042735,0.0,1
